Country Name,Country Code,Indicator Name,Indicator Code,LatestGini
Sudan,SDN,Gini index,SI.POV.GINI,34.2
Senegal,SEN,Gini index,SI.POV.GINI,36.2
Sierra Leone,SLE,Gini index,SI.POV.GINI,35.7
El Salvador,SLV,Gini index,SI.POV.GINI,38.8
Serbia,SRB,Gini index,SI.POV.GINI,33.1
South Sudan,SSD,Gini index,SI.POV.GINI,44.1
Sao Tome and Principe,STP,Gini index,SI.POV.GINI,40.7
Suriname,SUR,Gini index,SI.POV.GINI,39.2
Slovak Republic,SVK,Gini index,SI.POV.GINI,24.1
Slovenia,SVN,Gini index,SI.POV.GINI,24.3
Sweden,SWE,Gini index,SI.POV.GINI,29.8
Eswatini,SWZ,Gini index,SI.POV.GINI,54.6
Seychelles,SYC,Gini index,SI.POV.GINI,32.1
Syrian Arab Republic,SYR,Gini index,SI.POV.GINI,26.6
Chad,TCD,Gini index,SI.POV.GINI,37.4
Togo,TGO,Gini index,SI.POV.GINI,37.9
Thailand,THA,Gini index,SI.POV.GINI,34.9
Tajikistan,TJK,Gini index,SI.POV.GINI,34
Timor-Leste,TLS,Gini index,SI.POV.GINI,28.7
Tonga,TON,Gini index,SI.POV.GINI,27.1
Tunisia,TUN,Gini index,SI.POV.GINI,33.7
Turkiye,TUR,Gini index,SI.POV.GINI,44.4
Tanzania,TZA,Gini index,SI.POV.GINI,40.5
Uganda,UGA,Gini index,SI.POV.GINI,42.7
Ukraine,UKR,Gini index,SI.POV.GINI,25.6
Uruguay,URY,Gini index,SI.POV.GINI,40.6
United States,USA,Gini index,SI.POV.GINI,39.8
Uzbekistan,UZB,Gini index,SI.POV.GINI,31.2
Viet Nam,VNM,Gini index,SI.POV.GINI,36.1
Vanuatu,VUT,Gini index,SI.POV.GINI,32.3
Kosovo,XKX,Gini index,SI.POV.GINI,29
"Yemen, Rep.",YEM,Gini index,SI.POV.GINI,36.7
South Africa,ZAF,Gini index,SI.POV.GINI,63
Zambia,ZMB,Gini index,SI.POV.GINI,51.5
Zimbabwe,ZWE,Gini index,SI.POV.GINI,50.3
